ticker,quarter,report_date,filing_date,mci,drs,hedge_density,certainty_ratio,passive_voice_ratio,vague_language_score,word_count,next_day_return,five_day_return,thirty_day_return
AAPL,2025-Q4,2025-12-27,2026-01-30,50.3,19.5,0.511,1.267,0.146,1.315,2738,-0.0025,-0.0416,0.0073
AAPL,2025-Q2,2025-06-28,2025-08-01,50.9,17.5,0.443,1.2,0.102,1.298,3158,0.0129,0.0236,0.1206
AAPL,2025-Q1,2025-03-29,2025-05-02,50.6,17.5,0.45,1.125,0.093,1.351,3331,0.0047,-0.1831,-0.0402
AAPL,2024-Q4,2024-12-28,2025-01-31,53.0,16.6,0.403,1.545,0.086,1.248,2483,-0.0071,-0.0396,-0.0413
AAPL,2024-Q2,2024-06-29,2024-08-02,52.0,16.4,0.354,1.273,0.079,1.379,2828,0.0162,0.055,0.022
AAPL,2024-Q1,2024-03-30,2024-05-03,49.9,16.8,0.441,0.923,0.08,1.285,2723,-0.007,-0.0093,0.097
MSFT,2025-Q4,2025-12-31,2026-01-28,52.0,12.3,0.22,1.083,0.051,0.72,5000,-0.0221,-0.0114,-0.1702
MSFT,2025-Q3,2025-09-30,2025-10-29,50.5,15.9,0.36,1.053,0.1,1.04,5000,0.0034,0.0116,-0.0179
MSFT,2025-Q1,2025-03-31,2025-04-30,51.4,14.3,0.34,1.056,0.048,1.06,5000,0.0181,-0.0467,0.1965
MSFT,2024-Q4,2024-12-31,2025-01-29,54.0,13.4,0.22,1.5,0.053,1.02,5000,-0.0069,0.0073,-0.031
MSFT,2024-Q3,2024-09-30,2024-10-30,52.4,16.0,0.34,1.389,0.092,1.18,5000,-0.0223,-0.0482,-0.0285
MSFT,2024-Q1,2024-03-31,2024-04-25,52.5,12.2,0.2,1.182,0.054,0.7,5000,-0.0074,0.0,-0.0255
META,2025-Q3,2025-09-30,2025-10-30,43.5,23.0,1.16,0.39,0.133,0.94,5000,-0.0232,-0.029,-0.1461
META,2025-Q2,2025-06-30,2025-07-31,43.6,22.7,1.14,0.397,0.134,0.9,5000,-0.0256,-0.0236,0.0703
META,2025-Q1,2025-03-31,2025-05-01,43.7,22.9,1.14,0.397,0.13,0.98,5000,0.0167,-0.1043,0.1382
META,2024-Q3,2024-09-30,2024-10-31,43.2,23.2,1.18,0.35,0.133,0.96,5000,0.007,0.0216,0.0187
META,2024-Q2,2024-06-30,2024-08-01,43.4,22.8,1.14,0.345,0.134,0.92,5000,0.0095,0.0502,0.0473
META,2024-Q1,2024-03-31,2024-04-25,43.4,22.6,1.12,0.333,0.131,0.92,5000,0.0123,0.0568,-0.0475
GOOGL,2025-Q3,2025-09-30,2025-10-30,44.9,22.6,0.549,0.5,0.243,1.281,1639,0.0074,0.011,0.1983
GOOGL,2025-Q2,2025-06-30,2025-07-24,44.9,22.5,0.548,0.5,0.243,1.28,1641,-0.0022,-0.0106,0.1538
GOOGL,2025-Q1,2025-03-31,2025-04-25,44.9,22.6,0.549,0.5,0.243,1.282,1638,0.0157,-0.0511,0.0316
GOOGL,2024-Q3,2024-09-30,2024-10-30,44.5,22.5,0.602,0.455,0.237,1.205,1660,0.0069,-0.0173,0.0874
GOOGL,2024-Q2,2024-06-30,2024-07-24,44.5,22.5,0.602,0.455,0.237,1.205,1660,0.0123,0.0327,-0.1029
GOOGL,2024-Q1,2024-03-31,2024-04-26,44.5,22.7,0.612,0.455,0.237,1.225,1633,-0.006,-0.0041,0.0877
AMZN,2025-Q3,2025-09-30,2025-10-31,38.6,31.8,2.1,0.208,0.15,1.18,5000,0.0048,0.0101,0.1345
AMZN,2025-Q2,2025-06-30,2025-08-01,38.6,31.8,2.1,0.208,0.15,1.18,5000,0.0049,-0.0001,0.0095
AMZN,2025-Q1,2025-03-31,2025-05-02,38.6,31.8,2.1,0.208,0.15,1.18,5000,0.01,-0.0788,0.111
AMZN,2024-Q3,2024-09-30,2024-11-01,38.5,32.1,2.14,0.204,0.147,1.2,5000,-0.0064,-0.0297,0.1101
AMZN,2024-Q2,2024-06-30,2024-08-02,38.5,32.1,2.14,0.204,0.147,1.2,5000,0.0142,0.0109,-0.1368
AMZN,2024-Q1,2024-03-31,2024-05-01,38.5,32.1,2.14,0.204,0.147,1.2,5000,-0.0015,0.0233,0.0309
TSLA,2025-Q3,2025-09-30,2025-10-23,48.4,16.4,0.772,0.667,0.0,1.08,648,0.0331,-0.0262,-0.0115
TSLA,2025-Q2,2025-06-30,2025-07-24,51.3,14.0,0.466,1.0,0.0,1.087,644,-0.0534,-0.0625,0.073
TSLA,2025-Q1,2025-03-31,2025-04-23,51.3,14.1,0.476,1.0,0.0,1.111,630,0.0359,-0.0998,0.289
TSLA,2024-Q3,2024-09-30,2024-10-24,63.2,10.7,0.0,3.0,0.0,1.228,570,-0.0138,-0.0795,0.3378
TSLA,2024-Q2,2024-06-30,2024-07-24,63.2,10.7,0.0,3.0,0.0,1.243,563,0.102,0.25,-0.0097
TSLA,2024-Q1,2024-03-31,2024-04-24,62.4,12.2,0.0,3.0,0.053,1.205,581,-0.049,-0.0128,-0.019
NFLX,2025-Q3,2025-09-30,2025-10-22,37.2,39.3,2.628,0.75,0.28,0.968,723,-0.0234,-0.0065,-0.0521
NFLX,2025-Q2,2025-06-30,2025-07-18,37.2,39.3,2.628,0.75,0.28,0.968,723,-0.034,-0.0476,-0.085
NFLX,2025-Q1,2025-03-31,2025-04-18,36.8,40.1,2.643,0.75,0.304,0.974,719,-0.0044,-0.0694,0.2208
